iter	RMSE
0	13.74959682
1	12.58346512
2	11.6303861
3	10.68314981
4	9.801394147
5	9.01016026
6	8.296120095
7	7.60002323
8	6.995357972
9	6.517489806
10	6.001016487
11	5.526601026
12	5.093397739
13	4.711312186
14	4.39466616
15	4.104020798
16	3.81681252
17	3.537364802
18	3.281249262
19	3.060171346
20	2.862405488
21	2.667534927
22	2.508785524
23	2.346140559
24	2.193086561
25	2.068228368
26	1.95795859
27	1.858624705
28	1.771602932
29	1.6852865
30	1.606969201
31	1.550210897
32	1.483473335
33	1.432901694
34	1.381451881
35	1.335770132
36	1.296011473
37	1.253928409
38	1.219661274
39	1.18959447
40	1.162438325
41	1.137556177
42	1.116760696
43	1.095301086
44	1.077281187
45	1.058398157
46	1.045243164
47	1.037164602
48	1.02434905
49	1.009763478
50	0.9965653348
51	0.986017454
52	0.9740831028
53	0.9642411906
54	0.9554358899
55	0.9452977884
56	0.9350179095
57	0.9236332778
58	0.9181930598
59	0.9029036732
60	0.8958788586
61	0.8818140788
62	0.8739611466
63	0.8619185064
64	0.8541011683
65	0.8456853213
66	0.843657322
67	0.8308706384
68	0.8211818435
69	0.8189457426
70	0.8137120913
71	0.8018437727
72	0.7979239487
73	0.7886260416
74	0.7812268441
75	0.7751886372
76	0.7660440421
77	0.7590527788
78	0.7500596759
79	0.7458735546
80	0.7409123091
81	0.7370663613
82	0.725403127
83	0.7187288341
84	0.7097820283
85	0.7070255428
86	0.6976227419
87	0.6912572623
88	0.6847226905
89	0.6776249129
90	0.6728129877
91	0.6642792415
92	0.6597222687
93	0.6533416233
94	0.6481896186
95	0.6450387208
96	0.6351547798
97	0.6311912697
98	0.6247502561
99	0.618271351
