iter	Passed	Remaining
0	154	15312
1	157	7724
2	160	5175
3	162	3910
4	165	3141
5	168	2643
6	170	2260
7	172	1988
8	175	1774
9	178	1603
10	180	1462
11	183	1348
12	186	1249
13	189	1163
14	192	1088
15	194	1021
16	197	962
17	200	914
18	203	867
19	205	823
20	208	784
21	211	748
22	214	717
23	217	687
24	219	659
25	222	633
26	225	608
27	227	585
28	231	565
29	233	545
30	236	525
31	238	506
32	240	488
33	242	471
34	245	455
35	247	439
36	249	424
37	251	409
38	253	396
39	255	383
40	257	370
41	261	360
42	263	349
43	265	337
44	267	326
45	269	315
46	270	305
47	272	295
48	275	286
49	277	277
50	279	268
51	281	259
52	283	251
53	285	243
54	287	235
55	289	227
56	291	219
57	293	212
58	295	205
59	297	198
60	299	191
61	302	185
62	304	178
63	306	172
64	308	166
65	310	160
66	312	154
67	314	148
68	316	142
69	318	136
70	321	131
71	323	125
72	325	120
73	327	114
74	329	109
75	330	104
76	332	99
77	334	94
78	337	89
79	339	84
80	341	80
81	343	75
82	345	70
83	347	66
84	349	61
85	351	57
86	353	52
87	356	48
88	358	44
89	360	40
90	362	35
91	364	31
92	366	27
93	368	23
94	370	19
95	372	15
96	374	11
97	376	7
98	378	3
99	380	0
