category,total_insights,high_priority_count
Average Speed Optimization,19,19
Traction Management,19,0
Corner Exit Acceleration,19,19
Cornering Speed Development,19,19
Full Throttle Utilization,19,19
Maximum Speed Development,19,0
Overall Consistency,19,19
Shift Point Optimization,19,0
Threshold Braking Development,19,19
Throttle Application Timing,19,19
Apex Consistency,17,4
Throttle Consistency,17,5
Weight Transfer Optimization,13,0
Input Smoothness,12,0
Speed Gap to Leader,1,1
Speed Carry Comparison,1,1
Speed Consistency,1,0
