driver_name,driver_id,category,issue,action,priority,potential_gain,estimated_new_lap,current_best_lap,confidence,impact_score,skill_level
GR86-010-16,16,Threshold Braking Development,Peak brake pressure of 9.5% is below GR86 threshold capability (90%+ with race ABS and Alcon brakes).,Critical: Increase peak braking force by 15% at Turn 1/2 chicane. The GR86 race ABS allows 90-95% pressure without lock-up. Build confidence progressively.,HIGH,0.35-0.60s,99.635s,100.110s,High,0.475,Intermediate
GR86-010-16,16,Full Throttle Utilization,Only 0.0% of lap at full throttle. GR86 requires 55%+ due to lower power output.,Critical: Reach 100% throttle 55% earlier. Focus on Turn 2 exit and Turn 5 exit. Every meter earlier = 0.05s gained on main straight.,HIGH,0.38-0.64s,99.600s,100.110s,High,0.510,Intermediate
GR86-010-16,16,Throttle Application Timing,Throttle application 10.1% below best lap average.,"Apply throttle at apex of Turn 3 and Turn 4. Target: 50% at apex, 75% at mid-exit, 100% at track-out. Current: 64.6%, Target: 74.7%.",HIGH,0.21-0.35s,99.830s,100.110s,High,0.280,Intermediate
GR86-010-16,16,Throttle Consistency,Throttle variance of ±19.1% indicates inconsistent corner exits.,Standardize throttle application points. Use apex curbing as reference for initial 50% application. Smooth progression is critical.,MEDIUM,0.35-0.60s,99.635s,100.110s,MEDIUM,0.285,Intermediate
GR86-010-16,16,Traction Management,Longitudinal acceleration of 0.01g is below GR86 capability on slicks.,"The GR86 torque curve allows aggressive application from 3700 RPM. If losing traction at Turn 2 exit, reduce initial rate by 10%. If no traction loss, increase aggression by 20%.",MEDIUM,0.25-0.40s,99.785s,100.110s,Medium,0.195,Intermediate
GR86-010-16,16,Average Speed Optimization,Average speed 12.7 km/h below your best lap (127.0 vs 139.7 km/h),Focus on minimum corner speeds. Every 1 km/h gained through corners = 0.08s per lap. Target: 139.7 km/h average.,HIGH,4.41-6.61s,94.599s,100.110s,High,5.511,Intermediate
GR86-010-16,16,Maximum Speed Development,Top speed of 139.8 km/h suggests exit speed or straight-line issues,Focus on corner exit acceleration. Better exits = higher top speeds. Also check if you're short-shifting.,MEDIUM,0.20-0.40s,99.810s,100.110s,Medium,0.180,Intermediate
GR86-010-16,16,Shift Point Optimization,Shifting at 6433 RPM. GR86 optimal shift point is 7100 RPM.,Shift 667 RPM later on main straight and Turn 2 exit. Use shift light as reference. Power curve remains strong to 7100 RPM.,MEDIUM,0.20-0.35s,99.835s,100.110s,Medium,0.165,Intermediate
GR86-010-16,16,Cornering Speed Development,Lateral G-force of 0.20g is 0.80g below GR86 capability on slicks (1.0g threshold).,Critical: Increase corner entry speed by 5 km/h at Turn 3 and Turn 4. Build confidence progressively over 3 sessions. The GR86 on slicks can sustain 1.0g+ in steady-state cornering.,HIGH,0.25-0.40s,99.785s,100.110s,High,0.325,Intermediate
GR86-010-16,16,Corner Exit Acceleration,Exit acceleration of 0.01g is below GR86 potential.,"Critical: Apply 50% throttle at Turn 2 apex, building to 100% by track-out. The GR86 requires aggressive exits to compensate for lower power. Every 0.1g improvement = 0.15s per lap.",HIGH,0.25-0.38s,99.797s,100.110s,High,0.312,Intermediate
GR86-010-16,16,Apex Consistency,Combined throttle (±19.1%) and speed (±19.9 km/h) variance indicates inconsistent apex positioning.,Standardize apex points at Turn 3 and Turn 4. Use inside curbing as reference. Consistent apex = consistent exit = consistent lap times.,MEDIUM,0.35-0.60s,99.635s,100.110s,MEDIUM,0.285,Intermediate
GR86-010-16,16,Overall Consistency,"Input variance (Speed: ±19.9 km/h, Throttle: ±19.1%) is the primary performance limiter.","Mandatory: Establish 3 reference points per corner - brake marker (100m board), turn-in point (apex curbing), throttle point (track-out). Consistency is the foundation of speed. All other improvements are meaningless without this.",HIGH,0.25-0.45s,99.760s,100.110s,High,0.350,Intermediate
GR86-010-16,16,Input Smoothness,"Abrupt input changes detected (Throttle: ±19.1%, Brake: ±2.0%).",Practice progressive inputs. Throttle: 0% to 100% over 1.5 seconds. Brake: 100% to 0% over 1.0 second. Smooth inputs = predictable car behavior.,MEDIUM,0.30-0.50s,99.710s,100.110s,Medium,0.240,Intermediate
GR86-010-16,16,Weight Transfer Optimization,"G-force profile (Longitudinal: 0.01g, Lateral: 0.20g) suggests conservative weight transfer.","Opportunity: Brake harder initially at Turn 1 to load front, then smoothly transition to throttle to shift weight rear. This improves rotation and exit traction.",MEDIUM,0.25-0.40s,99.785s,100.110s,Medium,0.195,Intermediate
GR86-016-55,55,Threshold Braking Development,Peak brake pressure of 7.3% is below GR86 threshold capability (90%+ with race ABS and Alcon brakes).,Critical: Increase peak braking force by 15% at Turn 1/2 chicane. The GR86 race ABS allows 90-95% pressure without lock-up. Build confidence progressively.,HIGH,0.24-0.42s,97.746s,98.078s,High,0.332,Advanced
GR86-016-55,55,Full Throttle Utilization,Only 0.0% of lap at full throttle. GR86 requires 55%+ due to lower power output.,Critical: Reach 100% throttle 55% earlier. Focus on Turn 2 exit and Turn 5 exit. Every meter earlier = 0.05s gained on main straight.,HIGH,0.27-0.45s,97.721s,98.078s,High,0.357,Advanced
GR86-016-55,55,Throttle Application Timing,Throttle application 10.9% below best lap average.,"Apply throttle at apex of Turn 3 and Turn 4. Target: 50% at apex, 75% at mid-exit, 100% at track-out. Current: 64.7%, Target: 75.6%.",HIGH,0.15-0.24s,97.882s,98.078s,High,0.196,Advanced
GR86-016-55,55,Throttle Consistency,Throttle variance of ±22.5% indicates inconsistent corner exits.,Standardize throttle application points. Use apex curbing as reference for initial 50% application. Smooth progression is critical.,MEDIUM,0.24-0.42s,97.746s,98.078s,MEDIUM,0.199,Advanced
GR86-016-55,55,Traction Management,Longitudinal acceleration of 0.02g is below GR86 capability on slicks.,"The GR86 torque curve allows aggressive application from 3700 RPM. If losing traction at Turn 2 exit, reduce initial rate by 10%. If no traction loss, increase aggression by 20%.",MEDIUM,0.17-0.28s,97.850s,98.078s,Medium,0.136,Advanced
GR86-016-55,55,Average Speed Optimization,Average speed 12.4 km/h below your best lap (126.3 vs 138.7 km/h),Focus on minimum corner speeds. Every 1 km/h gained through corners = 0.08s per lap. Target: 138.7 km/h average.,HIGH,2.96-4.45s,94.372s,98.078s,High,3.706,Advanced
GR86-016-55,55,Speed Consistency,Speed varies by ±21.0 km/h - indicates inconsistent corner speeds,Use reference points for corner entry speeds. Aim for same speed at turn-in point every lap (±2 km/h tolerance).,MEDIUM,0.24-0.42s,97.746s,98.078s,Medium,0.199,Advanced
GR86-016-55,55,Maximum Speed Development,Top speed of 140.1 km/h suggests exit speed or straight-line issues,Focus on corner exit acceleration. Better exits = higher top speeds. Also check if you're short-shifting.,MEDIUM,0.14-0.28s,97.868s,98.078s,Medium,0.126,Advanced
GR86-016-55,55,Shift Point Optimization,Shifting at 6536 RPM. GR86 optimal shift point is 7100 RPM.,Shift 564 RPM later on main straight and Turn 2 exit. Use shift light as reference. Power curve remains strong to 7100 RPM.,MEDIUM,0.14-0.24s,97.886s,98.078s,Medium,0.115,Advanced
GR86-016-55,55,Cornering Speed Development,Lateral G-force of 0.17g is 0.83g below GR86 capability on slicks (1.0g threshold).,Critical: Increase corner entry speed by 5 km/h at Turn 3 and Turn 4. Build confidence progressively over 3 sessions. The GR86 on slicks can sustain 1.0g+ in steady-state cornering.,HIGH,0.17-0.28s,97.850s,98.078s,High,0.227,Advanced
GR86-016-55,55,Corner Exit Acceleration,Exit acceleration of 0.02g is below GR86 potential.,"Critical: Apply 50% throttle at Turn 2 apex, building to 100% by track-out. The GR86 requires aggressive exits to compensate for lower power. Every 0.1g improvement = 0.15s per lap.",HIGH,0.17-0.26s,97.859s,98.078s,High,0.219,Advanced
GR86-016-55,55,Apex Consistency,Combined throttle (±22.5%) and speed (±21.0 km/h) variance indicates inconsistent apex positioning.,Standardize apex points at Turn 3 and Turn 4. Use inside curbing as reference. Consistent apex = consistent exit = consistent lap times.,MEDIUM,0.24-0.42s,97.746s,98.078s,MEDIUM,0.199,Advanced
GR86-016-55,55,Overall Consistency,"Input variance (Speed: ±21.0 km/h, Throttle: ±22.5%) is the primary performance limiter.","Mandatory: Establish 3 reference points per corner - brake marker (100m board), turn-in point (apex curbing), throttle point (track-out). Consistency is the foundation of speed. All other improvements are meaningless without this.",HIGH,0.17-0.32s,97.833s,98.078s,High,0.245,Advanced
GR86-016-55,55,Input Smoothness,"Abrupt input changes detected (Throttle: ±22.5%, Brake: ±1.8%).",Practice progressive inputs. Throttle: 0% to 100% over 1.5 seconds. Brake: 100% to 0% over 1.0 second. Smooth inputs = predictable car behavior.,MEDIUM,0.21-0.35s,97.798s,98.078s,Medium,0.168,Advanced
GR86-016-55,55,Weight Transfer Optimization,"G-force profile (Longitudinal: 0.02g, Lateral: 0.17g) suggests conservative weight transfer.","Opportunity: Brake harder initially at Turn 1 to load front, then smoothly transition to throttle to shift weight rear. This improves rotation and exit traction.",MEDIUM,0.17-0.28s,97.850s,98.078s,Medium,0.136,Advanced
GR86-022-13,13,Threshold Braking Development,Peak brake pressure of 8.5% is below GR86 threshold capability (90%+ with race ABS and Alcon brakes).,Critical: Increase peak braking force by 15% at Turn 1/2 chicane. The GR86 race ABS allows 90-95% pressure without lock-up. Build confidence progressively.,HIGH,0.35-0.60s,99.626s,100.101s,High,0.475,Intermediate
GR86-022-13,13,Full Throttle Utilization,Only 0.0% of lap at full throttle. GR86 requires 55%+ due to lower power output.,Critical: Reach 100% throttle 55% earlier. Focus on Turn 2 exit and Turn 5 exit. Every meter earlier = 0.05s gained on main straight.,HIGH,0.38-0.64s,99.591s,100.101s,High,0.510,Intermediate
GR86-022-13,13,Throttle Application Timing,Throttle application 9.2% below best lap average.,"Apply throttle at apex of Turn 3 and Turn 4. Target: 50% at apex, 75% at mid-exit, 100% at track-out. Current: 67.3%, Target: 76.5%.",HIGH,0.21-0.35s,99.821s,100.101s,High,0.280,Intermediate
GR86-022-13,13,Throttle Consistency,Throttle variance of ±19.3% indicates inconsistent corner exits.,Standardize throttle application points. Use apex curbing as reference for initial 50% application. Smooth progression is critical.,MEDIUM,0.35-0.60s,99.626s,100.101s,MEDIUM,0.285,Intermediate
GR86-022-13,13,Traction Management,Longitudinal acceleration of 0.03g is below GR86 capability on slicks.,"The GR86 torque curve allows aggressive application from 3700 RPM. If losing traction at Turn 2 exit, reduce initial rate by 10%. If no traction loss, increase aggression by 20%.",MEDIUM,0.25-0.40s,99.776s,100.101s,Medium,0.195,Intermediate
